partner,participant,gender,no_participants
OYSCGA,farmers,female,6
Tabora_Municipal_Council,farmers,female,2
TYEGD,farmers,female,7
Newala_District_Council,farmers,female,23
Newala_District_Council,government_staff,female,0
Newala_District_Council,government_EAs,female,0
OYSLGSC,farmers,female,3
OYSLGSC,researchers,female,2
MEDA,farmers,female,0
TYEGD,farmers,female,4
TYEGD,NGO_EAs,female,1
TYEGD,NGO_staff,female,0
TYEGD,researchers,female,1
OSCD,farmers,female,16
OSCD,farmers,female,16
OYSCGA,farmers,male,22
Tabora_Municipal_Council,farmers,male,33
TYEGD,farmers,male,3
Newala_District_Council,farmers,male,30
Newala_District_Council,government_staff,male,2
Newala_District_Council,government_EAs,male,1
OYSLGSC,farmers,male,19
OYSLGSC,researchers,male,2
MEDA,farmers,male,9
TYEGD,farmers,male,6
TYEGD,NGO_EAs,male,1
TYEGD,NGO_staff,male,1
TYEGD,researchers,male,1
OSCD,farmers,male,14
OSCD,farmers,male,14
CIA_GED,farmers,female,60
Denkosin_Agric_Concept,farmers,female,15
FADAMA,farmers,female,35
CAPAFO,farmers,female,7
CAPAFO,farmers,female,18
SG2000,farmers,female,3
SG2000,government_EAs,female,1
FCI,farmers,female,19
FCI,farmers,female,9
FCI,farmers,female,8
Notore,farmers,female,23
Notore,NA,female,0
CAVAII,farmers,female,1
FUAM,farmers,female,13
Gemehaam_Bees_Limited,farmers,female,25
Gemehaam_Bees_Limited,farmers,female,38
FCI,farmers,female,26
FCI,farmers,female,18
FCI,farmers,female,32
FCI,farmers,female,28
CAPAFO,farmers,female,31
TFNC,farmers,female,15
KOLPING,farmers,female,2
KOLPING,farmers,female,3
KOLPING,farmers,female,3
CAVAII,farmers,female,3
Notore,farmers,female,1
Notore,others,female,0
TFNC,farmers,female,12
TFNC,farmers,female,9
CIA_GED,others,female,31
CIA_GED,farmers,female,14
TFNC,farmers,female,0
TFNC,farmers,female,7
FUAM,farmers,female,3
FUAM,farmers,female,4
FUAM,others,female,4
CAPAFO,farmers,female,33
CAPAFO,farmers,female,51
TFNC,farmers,female,15
TFNC,farmers,female,50
TFNC,farmers,female,23
TFNC,farmers,female,7
TFNC,farmers,female,17
TFNC,farmers,female,19
TFNC,farmers,female,9
TFNC,NA,female,9
TFNC,farmers,female,5
TFNC,others,female,0
TFNC,government_staff,female,0
CAPAFO,farmers,female,0
MEDA,farmers,female,11
MEDA,government_EAs,female,0
Kilimo_Joint,farmers,female,7
MEDA,farmers,female,11
MEDA,farmers,female,18
FUAM,farmers,female,7
Notore,farmers,female,7
CAVAII,farmers,female,7
FUAM,farmers,female,4
MEDA,farmers,female,4
MEDA,farmers,female,7
MEDA,government_EAs,female,1
OYSADEP,farmers,female,13
Handeni_District_Council,farmers,female,10
Handeni_District_Council,farmers,female,8
Handeni_District_Council,farmers,female,16
Cato_Foods,farmers,female,12
Cato_Foods,NA,female,12
Handeni_District_Council,farmers,female,11
Kilimo_Joint,farmers,female,17
Kilimo_Joint,farmers,female,22
Handeni_District_Council,farmers,female,0
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,12
Handeni_District_Council,farmers,female,17
Bunda_District_Council,farmers,female,41
Handeni_District_Council,farmers,female,5
Notore,farmers,female,25
Handeni_District_Council,farmers,female,15
Kilimo_Joint,farmers,female,10
MEDA,farmers,female,11
OYSADEP,farmers,female,9
MEDA,farmers,female,15
MEDA,government_EAs,female,0
MEDA,private_staff,female,0
Notore,farmers,female,8
FUAM,farmers,female,1
FUAM,farmers,female,2
Handeni_District_Council,government_EAs,female,9
Handeni_District_Council,farmers,female,19
JDPM,government_EAs,female,20
MEDA,farmers,female,2
MEDA,farmers,female,3
MEDA,farmers,female,5
MEDA,farmers,female,4
MEDA,farmers,female,3
MEDA,farmers,female,5
MEDA,farmers,female,4
MEDA,farmers,female,8
MEDA,farmers,female,5
MEDA,farmers,female,9
MEDA,farmers,female,62
MEDA,farmers,female,8
MEDA,farmers,female,10
MEDA,farmers,female,5
MEDA,farmers,female,2
MEDA,farmers,female,8
MEDA,farmers,female,7
CAPAFO,farmers,female,3
JDPM,farmers,female,4
CAVAII,farmers,female,23
Notore,farmers,female,30
CAPAFO,farmers,female,23
OYSADEP,farmers,female,11
OYSADEP,government_EAs,female,0
FADAMA,farmers,female,15
MEDA,farmers,female,4
Kilimo_Joint,farmers,female,16
Kilimo_Joint,government_staff,female,0
JDPM,farmers,female,12
JDPM,NGO_EAs,female,2
KOLPING,farmers,female,4
KOLPING,government_EAs,female,5
KOLPING,government_staff,female,1
KOLPING,NGO_EAs,female,1
KOLPING,farmers,female,2
KOLPING,government_EAs,female,5
KOLPING,government_staff,female,2
JDPM,farmers,female,10
JDPM,NGO_EAs,female,2
Notore,farmers,female,34
Chalinze_District_Council,farmers,female,4
Handeni_District_Council,farmers,female,3
FUAM,farmers,female,8
FUAM,farmers,female,5
Chalinze_District_Council,farmers,female,2
FCI,farmers,female,26
Handeni_District_Council,farmers,female,0
Handeni_District_Council,farmers,female,0
YARA,farmers,female,2
Handeni_District_Council,farmers,female,1
Handeni_District_Council,farmers,female,7
CAVAII,farmers,female,8
CAVAII,farmers,female,11
CAVAII,government_EAs,female,0
Kilimo_Joint,farmers,female,7
Kilimo_Joint,government_EAs,female,0
Chalinze_District_Council,farmers,female,17
Kilimo_Joint,farmers,female,5
Kilimo_Joint,farmers,female,8
Kilimo_Joint,farmers,female,0
Kilimo_Joint,government_EAs,female,0
Chalinze_District_Council,farmers,female,7
Chalinze_District_Council,farmers,female,12
OYSADEP,farmers,female,1
OYSADEP,government_EAs,female,0
OYSADEP,farmers,female,3
Kilimo_Joint,farmers,female,17
Kilimo_Joint,farmers,female,8
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,1
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,10
Kilimo_Joint,farmers,female,0
SG2000,farmers,female,2
SG2000,researchers,female,0
Kilimo_Joint,farmers,female,0
OYSADEP,farmers,female,12
OYSADEP,government_EAs,female,0
Notore,farmers,female,5
FUAM,farmers,female,3
Notore,farmers,female,18
Notore,government_EAs,female,1
SG2000,farmers,female,5
SG2000,government_EAs,female,1
CAPAFO,government_EAs,female,4
SG2000,farmers,female,15
FUAM,farmers,female,7
OYSADEP,farmers,female,12
OYSADEP,farmers,female,12
OYSADEP,farmers,female,23
OYSADEP,farmers,female,19
OYSADEP,farmers,female,11
OYSADEP,farmers,female,8
SG2000,farmers,female,9
SG2000,government_EAs,female,3
Kilimo_Joint,farmers,female,17
Kilimo_Joint,NA,female,17
Handeni_District_Council,farmers,female,12
Cedro_Royal,farmers,female,1
Chalinze_District_Council,farmers,female,7
Chalinze_District_Council,farmers,female,6
Cedro_Royal,farmers,female,36
Cedro_Royal,farmers,female,37
Chalinze_District_Council,farmers,female,7
KOLPING,farmers,female,10
KOLPING,government_EAs,female,1
KOLPING,farmers,female,6
KOLPING,NA,female,0
Chalinze_District_Council,farmers,female,16
FUAM,farmers,female,27
SG2000,farmers,female,4
Bagamoyo_District_Council,farmers,female,17
Bagamoyo_District_Council,government_EAs,female,1
Chalinze_District_Council,others,female,1
CAVAII,farmers,female,2
TFNC,farmers,female,716
CAVAII,farmers,female,20
KOLPING,farmers,female,133
KOLPING,others,female,0
Gemehaam_Bees_Limited,farmers,female,25
SG2000,farmers,female,0
Chalinze_District_Council,farmers,female,8
FUAM,farmers,female,7
Kilimo_Joint,farmers,female,0
Chalinze_District_Council,farmers,female,12
Kilimo_Joint,farmers,female,17
Gemehaam_Bees_Limited,farmers,female,25
Chalinze_District_Council,farmers,female,0
Chalinze_District_Council,farmers,female,33
Chalinze_District_Council,NA,female,0
KOLPING,farmers,female,106
KOLPING,farmers,female,54
KOLPING,farmers,female,96
KOLPING,farmers,female,28
SG2000,farmers,female,40
FUAM,farmers,female,8
FADAMA,farmers,female,33
KOLPING,farmers,female,5
KOLPING,farmers,female,9
KOLPING,NA,female,9
KOLPING,farmers,female,7
