country,partner,partnerfull,sector,partner_type,vc_segmain,vc_segs,integrated,mel_data,input_supply,production,digital_services,marketing_processing,financial_services,research,policy_regulation
Tanzania,ABM_Farm,ABM Farm,private,mechanisation_services,production,production,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tanzania,IITA,IITA,public,NGO,research,production research,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Nigeria,ESCFAL,ESCFAL,public,NGO,production,production,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nigeria,Esomchi_Foundation,Esomchi_Foundation,public,NGO,production,production,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nigeria,Eweko_Concept,Eweko_Concept,private,marketing_enterprise,production,production digital_services,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Nigeria,FADAMA,FADAMA,public,government_extension,production,production,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nigeria,Farmers_export_Market_Network,Farmers export Market Network,public,NGO,marketing_processing,marketing_processing,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nigeria,Federal_College_of_Agriculture_Akure,Federal College of Agriculture Akure,public,university,research,production research,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Nigeria,FIIRO,Federal Institute of Industrial Research Oshodi Lagos,public,research_institute,research,research,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Nigeria,Fieldplus_Agro_Initiatives,Fieldplus Agro Initiatives,private,agrochemical_company,input_supply,input_supply,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ghana,Food_and_Agriculture_Organization,Food and Agriculture Organization,public,NGO,production,production,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ghana,Food_and_Drugs_Authority,Food and Drugs Authority,public,NGO,production,production,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tanzania,Jv_biotech_enterprises_company_limited,Jv biotech enterprises company limited,private,local_processor,marketing_processing,production marketing_processing,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Nigeria,Food_For_All_International,Food For All International,private,aggregator_buyer,marketing_processing,marketing_processing,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nigeria,Forestry_reserve_commission,Forestry reserve commission,public,NGO,production,production,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
